,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,rikitea,PF,2022-05-04 19:40:53,-23.1203,-134.9692,74,83,77.63000000000005,8.77
1,albany,US,2022-05-04 19:40:54,42.6001,-73.9662,100,92,53.653999999999954,1.63
2,brejning,DK,2022-05-04 19:40:54,55.6613,9.677,100,69,55.688000000000045,4.51
3,ushuaia,AR,2022-05-04 19:40:54,-54.8,-68.3,40,65,44.492,6.17
4,cape town,ZA,2022-05-04 19:40:55,-33.9258,18.4232,0,87,64.38200000000002,4.12
5,takoradi,GH,2022-05-04 19:40:55,4.8845,-1.7554,75,76,82.92200000000004,4.51
6,kavieng,PG,2022-05-04 19:40:56,-2.5744,150.7967,75,77,82.75999999999999,4.88
7,iqaluit,CA,2022-05-04 19:40:56,63.7506,-68.5145,20,73,12.2,9.77
8,san carlos de bariloche,AR,2022-05-04 19:40:57,-41.1456,-71.3082,75,51,60.817999999999984,10.8
9,lagos,NG,2022-05-04 19:40:57,6.5833,3.75,79,91,77.59399999999997,1.33
10,sola,VU,2022-05-04 19:40:34,-13.8833,167.55,100,78,80.33000000000004,1.3
11,mataura,NZ,2022-05-04 19:40:58,-46.1927,168.8643,2,88,46.742,1.36
12,busselton,AU,2022-05-04 19:40:59,-33.65,115.3333,0,65,52.44800000000002,5.92
13,tautira,PF,2022-05-04 19:40:59,-17.7333,-149.15,70,77,81.842,4.83
14,dolores,AR,2022-05-04 19:41:00,-36.3132,-57.6792,1,40,65.49800000000002,4.45
15,hilo,US,2022-05-04 19:38:57,19.7297,-155.09,100,96,77.558,1.54
16,ribeira grande,PT,2022-05-04 19:41:01,38.5167,-28.7,40,82,66.86600000000001,3.09
17,port alfred,ZA,2022-05-04 19:41:02,-33.5906,26.891,16,92,63.446000000000055,1.6
18,bambous virieux,MU,2022-05-04 19:41:03,-20.3428,57.7575,40,78,79.32200000000003,7.2
19,chuy,UY,2022-05-04 19:41:03,-33.6971,-53.4616,52,67,65.89399999999998,3.63
20,hobart,AU,2022-05-04 19:41:04,-42.8794,147.3294,72,91,43.32200000000004,4.12
21,zyryanka,RU,2022-05-04 19:41:04,65.75,150.85,100,92,29.641999999999996,0.77
22,nanchang,CN,2022-05-04 19:41:05,28.6833,115.8833,50,64,68.37799999999996,0.37
23,galesong,ID,2022-05-04 19:41:05,-5.3166,119.3661,99,84,79.08800000000005,3.15
24,mullaitivu,,,,,,,,
25,dingle,PH,2022-05-04 19:41:07,10.9995,122.6711,80,82,77.66600000000001,3.29
26,east london,ZA,2022-05-04 19:41:07,-33.0153,27.9116,40,94,67.40600000000003,0.51
27,makokou,GA,2022-05-04 19:41:08,0.5738,12.8642,81,96,72.42799999999997,0.65
28,koutiala,ML,2022-05-04 19:41:08,12.3917,-5.4642,45,7,103.42400000000002,3.94
29,fortuna,US,2022-05-04 19:39:04,40.5982,-124.1573,0,81,59.19800000000002,4.12
30,sao joao da barra,BR,2022-05-04 19:41:09,-21.6403,-41.0511,3,69,89.95999999999998,7.14
31,labuhan,ID,2022-05-04 19:41:09,-6.8844,112.2051,100,89,78.29600000000005,3.53
32,bluff,NZ,2022-05-04 19:41:10,-46.6,168.3333,3,80,47.06600000000001,3.69
33,los llanos de aridane,ES,2022-05-04 19:41:10,28.6585,-17.9182,75,75,66.21799999999999,7.2
34,illoqqortoormiut,,,,,,,,
35,castro,BR,2022-05-04 19:41:11,-24.7911,-50.0119,64,73,57.596000000000046,5.09
36,butaritari,KI,2022-05-04 19:41:12,3.0707,172.7902,29,79,80.76199999999996,5.15
37,punta arenas,CL,2022-05-04 19:40:53,-53.15,-70.9167,75,81,44.977999999999966,6.69
38,atuona,PF,2022-05-04 19:41:12,-9.8,-139.0333,81,72,79.50199999999998,7.06
39,matara,LK,2022-05-04 19:41:13,5.9485,80.5353,67,88,80.45600000000003,4.86
40,tall kayf,TR,2022-05-04 19:41:14,37.0833,41.0667,88,75,65.01199999999996,9.02
41,tura,IN,2022-05-04 19:41:14,25.5198,90.2201,29,91,69.89000000000001,1.56
42,helong,CN,2022-05-04 19:41:15,42.5397,128.9972,100,41,58.225999999999985,2.01
43,qaanaaq,GL,2022-05-04 19:41:15,77.484,-69.3632,44,73,23.341999999999995,0.37
44,new norfolk,AU,2022-05-04 19:41:16,-42.7826,147.0587,54,80,42.98000000000004,0.77
45,constitucion,CL,2022-05-04 19:41:16,-35.3333,-72.4167,100,60,64.076,3.59
46,thompson,CA,2022-05-04 19:41:17,55.7435,-97.8558,100,74,27.032000000000018,3.6
47,saint-joseph,RE,2022-05-04 19:41:17,-21.3667,55.6167,31,85,74.04800000000003,6.79
48,qaqortoq,GL,2022-05-04 19:41:17,60.7167,-46.0333,21,63,35.725999999999985,3.42
49,portland,US,2022-05-04 19:41:18,45.5234,-122.6762,100,69,62.366000000000014,1.34
50,mehamn,NO,2022-05-04 19:41:18,71.0357,27.8492,100,63,28.58000000000004,5.92
51,kavaratti,IN,2022-05-04 19:41:19,10.5669,72.642,80,70,86.01799999999999,4.44
52,oyama,JP,2022-05-04 19:41:20,36.3,139.8,46,63,66.84800000000003,1.08
53,bud,US,2022-05-04 19:41:20,39.447,-86.1758,100,80,61.05199999999998,3.8
54,tiksi,RU,2022-05-04 19:41:21,71.6872,128.8694,19,98,3.343999999999969,1.67
55,hearst,CA,2022-05-04 19:41:21,49.6835,-83.6665,84,61,45.122000000000035,3.6
56,ahipara,NZ,2022-05-04 19:41:22,-35.1667,173.1667,20,91,58.58599999999997,2.97
57,jamestown,US,2022-05-04 19:41:22,42.097,-79.2353,100,94,53.79800000000003,4.63
58,faanui,PF,2022-05-04 19:41:23,-16.4833,-151.75,99,77,81.68000000000004,4.92
59,kieta,PG,2022-05-04 19:41:23,-6.2167,155.6333,55,81,80.41999999999996,1.13
60,saint-andre-les-vergers,FR,2022-05-04 19:41:24,48.2853,4.0521,88,82,55.70600000000003,1.03
61,grand river south east,,,,,,,,
62,kamaishi,JP,2022-05-04 19:41:24,39.2667,141.8833,30,85,48.398000000000025,0.7
63,upernavik,GL,2022-05-04 19:41:25,72.7868,-56.1549,87,87,13.333999999999993,3.66
64,aykhal,RU,2022-05-04 19:41:25,66,111.5,100,91,15.817999999999984,1.73
65,bellavista,PE,2022-05-04 19:41:26,-7.0561,-76.5911,20,74,87.54800000000003,0
66,barentsburg,,,,,,,,
67,mar del plata,AR,2022-05-04 19:38:09,-38.0023,-57.5575,0,51,68.21600000000001,10.29
68,prado,BR,2022-05-04 19:41:27,-17.3411,-39.2208,0,72,82.076,5.89
69,montepuez,MZ,2022-05-04 19:41:28,-13.1256,38.9997,20,83,65.78599999999997,2.17
70,bilma,NE,2022-05-04 19:41:28,18.6853,12.9164,100,10,99.392,3.28
71,vaini,TO,2022-05-04 19:41:28,-21.2,-175.2,20,94,72.03200000000001,2.57
72,srednekolymsk,RU,2022-05-04 19:41:29,67.45,153.6833,100,97,28.508000000000003,0.85
73,batagay-alyta,RU,2022-05-04 19:41:29,67.8006,130.4114,100,97,6.8539999999999495,1.87
74,lebu,CL,2022-05-04 19:41:30,-37.6167,-73.65,100,76,59.432000000000016,7.14
75,freital,DE,2022-05-04 19:41:30,51.0017,13.6488,0,36,68.63000000000005,4.12
76,tuatapere,NZ,2022-05-04 19:41:31,-46.1333,167.6833,22,83,51.38599999999997,2.35
77,hermanus,ZA,2022-05-04 19:41:31,-34.4187,19.2345,22,82,64.076,2.47
78,isangel,VU,2022-05-04 19:41:31,-19.55,169.2667,0,81,76.35199999999998,1.85
79,matameye,,,,,,,,
80,fenoarivo,MG,2022-05-04 19:41:32,-18.933,47.4354,20,82,62.94199999999999,3.6
81,kruisfontein,ZA,2022-05-04 19:41:33,-34.0033,24.7314,67,95,64.14800000000002,0.98
82,khandbari,NP,2022-05-04 19:41:33,27.3747,87.2039,80,82,70.34000000000003,0.46
83,sigerfjord,,,,,,,,
84,southbridge,US,2022-05-04 19:41:34,42.0751,-72.0334,100,96,54.12200000000004,1.79
85,bathsheba,BB,2022-05-04 19:41:35,13.2167,-59.5167,20,66,86.88200000000002,8.75
86,tateyama,JP,2022-05-04 19:41:35,34.9833,139.8667,88,80,60.36799999999998,6.04
87,yola,NG,2022-05-04 19:41:35,9.2,12.4833,20,55,93.29000000000002,5.14
88,taolanaro,,,,,,,,
89,tabuk,PH,2022-05-04 19:41:37,17.4189,121.4443,99,92,74.67799999999997,1.43
90,perur,IN,2022-05-04 19:41:37,10.9667,76.9,75,88,73.36400000000003,2.06
91,port lincoln,AU,2022-05-04 19:41:38,-34.7333,135.8667,87,51,56.858000000000004,8.54
92,carnarvon,AU,2022-05-04 19:41:38,-24.8667,113.6333,6,67,62.94199999999999,3.6
93,avdon,RU,2022-05-04 19:41:39,54.6667,55.7167,0,37,54.98599999999997,4
94,san cristobal,VE,2022-05-04 19:41:40,7.7669,-72.225,77,42,88.25,3.34
95,kodiak,US,2022-05-04 19:41:40,57.79,-152.4072,100,87,42.58399999999999,2.06
96,qasigiannguit,GL,2022-05-04 19:41:41,68.8193,-51.1922,100,77,18.122000000000035,3.18
97,cascais,PT,2022-05-04 19:41:41,38.6979,-9.4215,20,55,75.326,8.75
98,ilulissat,GL,2022-05-04 19:41:42,69.2167,-51.1,75,67,17.888000000000044,5.66
99,burnie,AU,2022-05-04 19:41:42,-41.0667,145.9167,1,90,41.21600000000001,2.32
100,guerrero negro,MX,2022-05-04 19:39:20,27.9769,-114.0611,1,56,65.93000000000004,5.62
101,narsaq,GL,2022-05-04 19:41:43,60.9167,-46.05,11,50,43.285999999999966,1.58
102,barda,AZ,2022-05-04 19:41:44,40.3744,47.1267,54,62,63.95,5.99
103,nurota,UZ,2022-05-04 19:41:44,40.5614,65.6886,98,51,70.34000000000003,1.96
104,tasiilaq,GL,2022-05-04 19:41:44,65.6145,-37.6368,100,68,28.832000000000015,4.03
105,yellowknife,CA,2022-05-04 19:41:45,62.456,-114.3525,100,87,38.19199999999999,8.75
106,san quintin,MX,2022-05-04 19:41:36,30.4833,-115.95,10,65,64.292,4.03
107,ouro preto do oeste,BR,2022-05-04 19:41:46,-10.7481,-62.2158,98,72,79.66400000000004,2.81
108,cabo san lucas,MX,2022-05-04 19:41:46,22.8909,-109.9124,10,47,83.31799999999998,2.68
109,kahului,US,2022-05-04 19:41:46,20.8947,-156.47,40,85,73.68800000000005,6.69
110,busembatia,UG,2022-05-04 19:41:47,0.7697,33.6131,95,94,67.28000000000004,2.28
111,yulara,AU,2022-05-04 19:41:47,-25.2406,130.9889,100,62,57.30800000000001,3.09
112,ashland,US,2022-05-04 19:41:48,40.8167,-82.2665,100,94,52.03399999999999,4.34
113,arawa,PG,2022-05-04 19:41:48,-6.2132,155.5367,76,90,78.08000000000004,0.66
114,ancud,CL,2022-05-04 19:41:49,-41.8697,-73.8203,100,98,54.842,3.95
115,hay river,CA,2022-05-04 19:41:49,60.8156,-115.7999,75,58,52.05199999999998,5.14
116,bacuit,,,,,,,,
117,tadine,NC,2022-05-04 19:41:50,-21.55,167.8833,11,81,74.04800000000003,4.02
118,severo-kurilsk,RU,2022-05-04 19:41:50,50.6789,156.125,97,87,33.76400000000003,1.68
119,kloulklubed,PW,2022-05-04 19:41:51,7.0419,134.2556,70,76,79.57400000000001,8.13
120,boyolangu,ID,2022-05-04 19:41:51,-8.1181,111.8935,99,93,76.35199999999998,0.39
121,airai,TL,2022-05-04 19:41:52,-8.9266,125.4092,82,90,59.359999999999985,1.27
122,provideniya,RU,2022-05-04 19:41:53,64.3833,-173.3,59,86,26.924000000000014,4.08
123,shimoda,JP,2022-05-04 19:41:53,34.6667,138.95,91,84,60.36799999999998,4.15
124,sentyabrskiy,,,,,,,,
125,healdsburg,US,2022-05-04 19:41:54,38.6105,-122.8692,5,50,84.38000000000005,1.7
126,pevek,RU,2022-05-04 19:41:55,69.7008,170.3133,100,89,10.201999999999973,2.41
127,mtwara,TZ,2022-05-04 19:41:55,-10.2667,40.1833,66,87,75.77599999999998,5.23
128,yuxia,CN,2022-05-04 19:41:56,34.0615,108.6291,29,56,63.48200000000001,4.11
129,najran,SA,2022-05-04 19:41:56,17.4924,44.1277,1,19,88.71799999999999,3.67
130,scarborough,GB,2022-05-04 19:41:57,54.2797,-0.4044,73,87,57.596000000000046,0.89
131,attawapiskat,,,,,,,,
132,esperance,AU,2022-05-04 19:41:57,-33.8667,121.9,99,61,55.50800000000001,3.42
133,bundaberg,AU,2022-05-04 19:41:58,-24.85,152.35,100,99,67.47799999999997,2.57
134,luderitz,NA,2022-05-04 19:40:18,-26.6481,15.1594,6,58,67.00999999999999,2.95
135,boueni,YT,2022-05-04 19:41:59,-12.9025,45.0761,36,70,80.85199999999998,1.86
136,tongsa,,,,,,,,
137,terrace,CA,2022-05-04 19:42:00,54.5163,-128.6035,100,93,41.18000000000004,4.12
138,meyungs,,,,,,,,
139,akdepe,TM,2022-05-04 19:42:00,42.0551,59.3788,96,62,71.95999999999998,4.14
140,alyangula,AU,2022-05-04 19:42:01,-13.8483,136.4192,100,94,77.14399999999998,1.54
141,mantua,IT,2022-05-04 19:41:01,45.1667,10.7833,100,75,67.08200000000002,3
142,tucurui,BR,2022-05-04 19:42:02,-3.7661,-49.6725,90,83,83.62400000000002,1.61
143,barrow,US,2022-05-04 19:42:02,71.2906,-156.7887,100,79,16.088000000000044,6.17
144,puerto ayora,EC,2022-05-04 19:42:03,-0.7393,-90.3518,33,76,80.834,3.86
145,mrirt,,,,,,,,
146,chicla,PE,2022-05-04 19:42:04,-11.705,-76.2686,51,59,52.73599999999997,0.83
147,dikson,RU,2022-05-04 19:42:04,73.5069,80.5464,96,82,15.925999999999988,9.4
148,bowen,AU,2022-05-04 19:42:05,-20.0167,148.2333,4,91,70.50199999999998,2.97
149,cockburn town,TC,2022-05-04 19:42:05,21.4612,-71.1419,40,77,79.25,6.83
150,bubaque,GW,2022-05-04 19:42:05,11.2833,-15.8333,11,69,79.19600000000005,6.98
151,galena park,US,2022-05-04 19:42:06,29.7336,-95.2302,75,68,88.64600000000004,12.86
152,russell,US,2022-05-04 19:42:06,32.3502,-85.1999,75,69,87.18800000000005,3.6
153,walvis bay,NA,2022-05-04 19:42:07,-22.9575,14.5053,0,26,83.62400000000002,3.09
154,lompoc,US,2022-05-04 19:42:07,34.6391,-120.4579,0,61,76.96400000000003,2.06
155,dunedin,NZ,2022-05-04 19:42:08,-45.8742,170.5036,39,90,54.067999999999984,1.59
156,clyde river,CA,2022-05-04 19:42:08,70.4692,-68.5914,20,79,21.70399999999995,3.09
157,kapaa,US,2022-05-04 19:42:08,22.0752,-159.319,75,87,74.39000000000001,8.75
158,borogontsy,RU,2022-05-04 19:42:09,62.6683,131.1683,100,99,27.319999999999958,0.82
159,kharan,PK,2022-05-04 19:42:09,28.5833,65.4167,0,14,87.35,2.79
160,petropavlovsk-kamchatskiy,RU,2022-05-04 19:41:23,53.0452,158.6483,0,100,25.664000000000033,2
161,hofn,IS,2022-05-04 19:42:10,64.2539,-15.2082,75,61,43.088000000000044,4.63
162,abiramam,IN,2022-05-04 19:42:12,9.4667,78.45,100,59,89.36600000000001,1.4
163,buqayq,,,,,,,,
164,lima,PE,2022-05-04 19:42:13,-12.0432,-77.0282,0,74,70.66400000000004,4.12
165,makakilo city,US,2022-05-04 19:42:13,21.3469,-158.0858,0,79,73.45399999999995,3.09
166,amderma,,,,,,,,
167,meulaboh,ID,2022-05-04 19:42:14,4.1363,96.1285,100,88,77.14399999999998,1.63
168,kununurra,AU,2022-05-04 19:42:15,-15.7667,128.7333,12,88,71.85199999999998,0
169,avarua,CK,2022-05-04 19:42:15,-21.2078,-159.775,20,88,77.32400000000001,2.06
170,grand bend,CA,2022-05-04 19:42:16,43.3168,-81.7498,94,90,60.49399999999997,5.81
171,port elizabeth,ZA,2022-05-04 19:41:28,-33.918,25.5701,0,94,66.36199999999997,1.03
172,saskylakh,RU,2022-05-04 19:42:18,71.9167,114.0833,100,91,22.28000000000004,2.76
173,bredasdorp,ZA,2022-05-04 19:42:19,-34.5322,20.0403,49,95,60.61999999999996,2.26
174,naryan-mar,RU,2022-05-04 19:42:20,67.6713,53.087,44,85,11.317999999999984,4.29
175,lasa,IT,2022-05-04 19:42:20,46.6166,10.7002,100,98,55.63399999999999,1.43
176,sisimiut,GL,2022-05-04 19:42:21,66.9395,-53.6735,100,74,20.24600000000005,2.88
177,chokurdakh,RU,2022-05-04 19:42:21,70.6333,147.9167,79,99,2.1380000000000443,0.84
178,arraial do cabo,BR,2022-05-04 19:42:21,-22.9661,-42.0278,0,58,93.434,5.66
179,bengkulu,ID,2022-05-04 19:42:22,-3.8004,102.2655,93,87,75.75800000000001,1.49
180,port-gentil,GA,2022-05-04 19:42:22,-0.7193,8.7815,20,78,80.834,0
181,victoria,HK,2022-05-04 19:38:31,22.2855,114.1577,37,82,76.44200000000001,2.68
182,inta,RU,2022-05-04 19:42:23,66.0317,60.1659,99,75,26.02400000000001,6.86
183,uyskoye,RU,2022-05-04 19:40:42,54.3775,60.0047,35,49,48.34399999999997,2.98
184,mastic beach,US,2022-05-04 19:42:24,40.7668,-72.8521,100,87,59.377999999999965,3.6
185,bethel,US,2022-05-04 19:42:24,41.3712,-73.414,100,91,56.156000000000034,1.54
186,tuktoyaktuk,CA,2022-05-04 19:42:25,69.4541,-133.0374,100,100,23.26999999999996,6.69
187,paita,PE,2022-05-04 19:42:26,-5.0892,-81.1144,75,67,74.93000000000004,5.22
188,mayumba,GA,2022-05-04 19:42:26,-3.432,10.6554,100,90,79.84399999999997,2.65
189,tukums,LV,2022-05-04 19:42:27,56.9669,23.1553,85,59,46.022000000000034,1.59
190,salazie,RE,2022-05-04 19:42:28,-21.0273,55.539,75,86,70.75399999999996,8.23
191,vao,NC,2022-05-04 19:42:28,-22.6667,167.4833,6,80,75.03800000000004,6.57
192,avenal,US,2022-05-04 19:42:28,36.0041,-120.129,1,19,76.81999999999996,1.83
193,poum,NC,2022-05-04 19:42:29,-20.2333,164.0167,11,82,77.63000000000005,3.24
194,pochutla,MX,2022-05-04 19:42:29,15.7432,-96.4661,87,38,92.084,3.68
195,xadani,,,,,,,,
196,hamilton,US,2022-05-04 19:42:30,39.1834,-84.5333,100,80,59.25199999999998,4.63
197,charters towers,AU,2022-05-04 19:42:31,-20.1,146.2667,100,84,71.43800000000005,2.78
198,saint-philippe,RE,2022-05-04 19:42:31,-21.3585,55.7679,56,87,75.05600000000004,6.66
199,khani,GE,2022-05-04 19:42:31,41.9563,42.9566,100,99,46.23800000000004,1.45
200,the valley,AI,2022-05-04 19:42:32,18.217,-63.0578,40,69,86.12599999999999,6.69
201,nome,US,2022-05-04 19:42:32,64.5011,-165.4064,100,93,26.941999999999997,0
202,byron bay,AU,2022-05-04 19:37:33,-28.65,153.6167,15,92,64.21999999999997,2.49
203,soe,ID,2022-05-04 19:42:33,-9.8607,124.284,57,94,67.1,1.57
204,chagda,,,,,,,,
205,rawannawi,,,,,,,,
206,muzhi,RU,2022-05-04 19:42:34,65.3667,64.6667,77,92,28.4,2.86
207,port augusta,AU,2022-05-04 19:42:35,-32.5,137.7667,13,70,51.29600000000005,4.14
208,half moon bay,US,2022-05-04 19:42:35,37.4636,-122.4286,0,62,80.15,0
209,wahiawa,US,2022-05-04 19:42:36,21.5028,-158.0236,100,85,71.63599999999997,1.54
